Chá do Matias ;;;;;;;;;;;;;;;;;;;;;;;;;
"

Queridos familiares e amigos,

Preparamos esta lista com muito carinho para ajudar na organização do enxoval do Matias.

Para quem quiser presenteá-lo, reunimos abaixo algumas sugestões de itens que ainda não temos e que serão muito
úteis para a chegada dele. Ao escolher um presente, pedimos que escreva o seu nome ao lado do item escolhido,
 assim conseguimos evitar presentes repetidos.

Os links disponíveis servem apenas como referência. Não é necessário comprar na loja indicada. 
Pedimos apenas que, sempre que possível, a marca sugerida seja mantida, pois cada item foi escolhido com carinho e cuidado.

Também optamos por utilizar fraldas ecológicas a partir dos dois meses do Matias. 
Como ainda iremos adquirir esse enxoval, quem preferir pode contribuir com essa parte por meio de PIX.

Mas, acima de tudo, sintam-se à vontade! A presença, o carinho e a alegria de vocês em celebrar a chegada 
do Matias conosco são o que realmente importa. A lista é apenas uma forma de facilitar para quem desejar 
nos presentear, e qualquer demonstração de carinho será recebida com muito amor. 🤍

Obrigada por fazerem parte deste momento tão especial. Estamos muito felizes por compartilhar a espera do Matias com vocês!";;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Termometro ;g3tech ;;;https://www.amazon.com.br/G-Tech-Term%C3%B4metro-Infravermelho-Ultracompacto-Testa/dp/B08QDZHNQ2/ref=sr_1_16?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1ZX9SPYD11QOS&dib=eyJ2IjoiMSJ9.hLiwrIvA9DKPweJ20YI8-hGPi69u2K5NUoS7O6RmPmvrrQgSNDzR-zDIL8TX7kGTVQ4uf2-JdVx8MEdZfrPP6dhvK0_79fcDG-99kSqT3GCrpxRXRWKqw-xuQHIn4wzoACDTG8rouXiki0A8dL3xcFsk5s3GkwEE-lnGu_UVStISdjpMdihCfULJKDj2tUZMEdb4GXiqhllKQWtzU7MFDcbGB7esPBouq3oJcTp8W4-TChK9TekAkR-XUREhof1aZCc-ZfCsoNIC9Twyj6rsJwpfso4Ykl21WpjiPro7EFs._gPqdS0B7IJJQYd5DNg9jYfw605fERM-pu31kJZUKSw&dib_tag=se&keywords=term%C3%B3metro+de+bebe&qid=1790211018&s=hpc&sprefix=termometro+de+bebe%2Chpc%2C197&sr=1-16&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9;;;;;;;;;;;;;;;;;;;;;
Lixeira antiodor;;branca ;;https://s.shopee.com.br/4B0BiG8y92;;;;;;;;;;;;;;;;;;;;;
livro de pano ;;;;https://s.shopee.com.br/8fSb5rgJDk;;;;;;;;;;;;;;;;;;;;;
coletor de leite ;;;;https://s.shopee.com.br/9peYHK3Fva;;;;;;;;;;;;;;;;;;;;;
luminária de mesa;;;;https://s.shopee.com.br/8V9AsWkf29;;;;;;;;;;;;;;;;;;;;;
alcool em gel ;giovanna baby ;;;;;;;;;;;;;;;;;;;;;;;;
ruido branco;;;;https://s.shopee.com.br/6fhWVroUSC;;;;;;;;;;;;;;;;;;;;;
brinquedo educativo;;;;https://s.shopee.com.br/3LR4jMa3ON;;;;;;;;;;;;;;;;;;;;;
Canguru ;;;;https://www.amazon.com.br/dp/B0CGVT4K6T?ref=cm_sw_r_cso_wa_apan_dp_1S7VKTSDH85YSN0YJAQR&ref_=cm_sw_r_cso_wa_apan_dp_1S7VKTSDH85YSN0YJAQR&social_share=cm_sw_r_cso_wa_apan_dp_1S7VKTSDH85YSN0YJAQR;;;;;;;;;;;;;;;;;;;;;
Inalador ;;;;https://s.shopee.com.br/2BF79uX8zY;;;;;;;;;;;;;;;;;;;;;
estante infantil montessoriano ;;;;https://s.shopee.com.br/AUuFHA1ogV;;;;;;;;;;;;;;;;;;;;;
Toalha com capuz de fralda;;;;;;;;;;;;;;;;;;;;;;;;;
Kit Fralda ecológica ;happy flute ;;;https://www.happyflute.com.br/produtos/kit-4-fraldas-ecologicas-happy-flute-8-abs-de-microfibra24/;;;;;;;;;;;;;;;;;;;;;
